trades_count,avg_closedPnL,total_volume
68005,28.65207852012352,8562984.88
29992,92.82184979381168,2758278.00292758
26064,33.30435591766421,7523.47436
11158,118.29887424735615,45500.8935
10691,153.35851908203162,891436.28
4650,-21.653164125806452,9941024.7
4428,88.15516482746162,10668580.7
2774,27.130878882119685,9230879.99108
1983,11.236470073625819,1162530.7
1979,100.69168010207176,2361665.2
1920,-190.01297300989583,548538.5
1774,2.117757308342728,2767949.0
1730,10.795952187283238,348557376.0
1647,21.585455540983606,124367707.0
1560,4.429079337820513,130646.0
1463,16.794822218045113,2234923.0
1309,5.69164222459893,28.447286464
1265,-14.773813698814228,939.736
1239,148.3275090306699,298307.0
1198,22.342533557595992,5745187.0
1165,6.6202658695278975,197730.0
1152,-6.876893985243055,2715618.0
1082,15.543383059149724,5009.084
1054,69.91437057590133,254723.2
992,35.47753653629032,198651371.0
990,219.52475106464647,2153145.0
927,5.628199855447681,63110230.0
885,-0.10843387231638418,25754.0
826,178.6236761912833,10328504.0
819,90.00264822344322,7801280.0
811,5.890570540073982,8973651.0
769,27.52526043953186,21308576.0
693,7.368347425685426,635980.0
692,14.062731127167629,488673.8
660,32.29887580454545,5918176.0
644,66.62922875310558,1382032.0
598,116.44137665050167,2031053.8
592,2.692157910472973,493737.4
586,25.332703721843004,1766307.2
585,12.794885442735042,7266.96
581,-48.38805846815835,1775234.0
570,34.28856404912281,709839.0
562,12.619466183274023,3842600.0
540,14.859912348148148,1004222.6
488,32.8112703647541,144766.8
478,42.87957133891213,728270.0
469,6.488887215351813,137425.7
435,-20.080783818390803,717868.0
355,12.960840546478872,29119.6
352,-62.198609426136365,55996.0
330,197.06318894545456,139710.86000000002
324,35.75260113888889,324.4020854
322,19.392512804347827,340041.4
322,40.439435571428575,94647.4
311,141.2508233890675,234790.6
298,27.709060553691273,965534.8
289,31.088584010380625,366529.0
276,0.589567134057971,1724232.97059
258,6.793288457364341,964558.0
249,23.577118650602408,6211452.0
245,18.86776122857143,129672.2
238,8.023143126050421,235378.0
235,42.37352113191489,4902260.0
234,26.069479726495725,39753.6
226,-14.049883340707964,638436.0
223,62.589847439461884,120172.8
220,-1.5039844363636363,17768.16545566
215,21.989742260465118,1304936.0
205,10.797258180487805,212890.0
202,239.09561309405942,16518.94
201,6.235189,66478.0
191,29.456248816753927,2902.91
190,7.577543331578947,25399.4
176,77.08137817045454,87488.0
173,46.69535819075145,221765.4
170,7.638307376470588,2101374.0
165,20.351481024242425,4471870.0
163,0.0,12005.26
159,33.39059594339623,3782.48
158,37.466951886075954,8711.4
156,1.9435959743589741,644.992
152,44.84547914473684,15768692.0
151,3.5706257284768212,622857.6
149,12.242411221476509,1397302.0
147,65.54136095238096,348521.2
145,6.608878365517241,933613.0
144,-60.033650819444446,540226.0
138,-9.05596018115942,165571.6
134,55.28396396268657,123280.0
132,200.80409097727272,5141.73930001
128,12.3741093125,89940.4
125,15.83470024,1086662.0
125,19.023809416,798060.0
122,21.00733226229508,390848.0
120,5.828614283333334,6910.88
114,15.343771622807019,31176.2
109,2.8157978990825687,27858.0
107,151.09671353271028,365182.0
107,41.65607869158879,9189396.0
106,5.711716273584905,26252.8
104,3.1599013557692306,489323.0
104,78.29751096153846,543164.0
102,0.34526536274509806,118573.9293247
101,-1.2072248712871287,17418.4
99,16.179385404040403,168108.0
96,15.454676104166666,25459.399999999998
95,14.9082054,21.6018
95,29.625242357894738,1317.62
90,62.36478998888889,258885.0
89,77.70973278651685,504894.0
88,0.006818159090909091,60000.0
85,26.034087270588234,44977.26
83,102.89313185542169,23574858.0
80,8.377018799999998,197330.0
79,1.116889417721519,972.3
78,42.98883519230769,388959.0
74,2.6147012567567565,25500.4
61,5.701082049180328,3998.4
59,10.718410576271186,1632786.0
58,17.63528881034483,13673.6
56,1.7795838035714286,14876.0
53,10.192755471698112,5191.8
51,36.049885686274514,392032.0
51,1.8593363921568626,84117.6
50,6.9338634,621994.0
49,4.6768448979591835,98504.0
48,-31.6120003125,47204.2
47,32.589900425531916,164084.0
46,55.58925232608696,3199.39654361
43,-18.025216813953488,4440.2
41,4.491171317073171,593836.0
40,10.546775325,19602.8
39,0.12148943589743588,4193584.0
39,2.5536826153846155,381.32
38,17.603447815789472,260746.8
37,28.20965637837838,179834.0
36,-30.212037638888887,1953.21354454
36,0.755258,25442.0
36,7.753812888888888,3646874.0
35,45.92674642857143,167078.0
34,14.610183470588236,22.81628325
34,0.0,3161.45
32,5.169729,3136406.0
32,50.40548,39818.2
31,11.758087096774194,52522.0
31,28.208829032258066,455414.0
30,-49.17969023333333,3013.32
30,-0.6032903333333334,9956.0
29,12.767743689655173,3715.63061295
28,5.824474285714286,709314.0
25,110.4285964,6219.1
23,0.020109304347826085,24665.0
23,17.647591304347824,54640.0
20,270.704207,207305.5096
19,0.2603861052631579,20554.0
19,6.467965421052632,2900.0
17,0.0,992745.93703
15,0.0,1376.84
15,3.5651780000000004,168004.0
14,44.15240592857143,56528.0
13,22.989169307692308,391039.22584
13,15.644784615384614,301.88
12,2.705173333333333,176606.0
10,3.5197902,976.0
10,-1.760528,10176.0
10,-0.025801799999999996,2977.9528416
10,-18.849813000000005,63440.0
9,41.29258322222222,111607.215253
9,1.3499647777777777,37664.05631
9,3.6968881111111114,73553.46038
8,-16.0754845,738.63588996
8,134.276725875,41574.8
8,1.5310127500000001,343992.0
8,-10.185648500000001,80.2
8,24.8380625,7742.0
8,-2.632147125,1748.4
7,25.649108571428574,16446.0
7,-0.350692,38592.0
7,-7.444960571428571,38404.040742
7,5.508290857142858,134331.69827
7,2.6233600000000004,10598.0
6,-0.013062333333333334,237.51315901
5,-0.1815892,779831.80009
5,-8.1424434,4273.1063382
5,-7.055718000000001,3315.0
5,54.7137286,25468.0
5,1.0638874,1102.6
5,41.009696000000005,71.06
5,43.011410999999995,15222.0
5,-70.1265388,62500.0
5,7.347688,3108.666272
5,0.3445898,24515.33857
5,3.385244,6794.222401
4,16.966176750000002,19027.02206047
4,-0.015871,138178.5107484
4,3.39173225,3335229.09539
4,12.737671,15623.5
4,6.9067855,665.9161515999999
4,81.26394225,40.910000000000004
4,18.986934,15904.0
4,16.75703175,1190.94529885
4,-0.01510725,66.2246907
4,12.5783645,787.4947623999999
4,1.15792225,208.747135
4,-1.7803399999999998,1095.1999999999998
3,11.070757666666667,395586.1652621
3,0.0,27288.82671
